Date,Day,Time,Junction_N,Speed_N,Northbound_from,Northbound_to,Information_N,Junction_S,Speed_S,Southbound_from,Southbound_to,Information_S
10-02-2023,Friday,10:00:00,J47-J48,66,Garforth/A1(M)Interchange,A1(M)Interchange,,J48-J47,67,A1(M)Interchange,Garforth/A1(M)Interchange,
10-02-2023,Friday,10:00:00,J46-J47,68,Leeds,Garforth/A1(M)Interchange,,J47-J46,66,Garforth/A1(M)Interchange,Leeds,
10-02-2023,Friday,10:00:00,J45-J46,65,LimitedAccess,Leeds,Unconfirmed Roadwork,J46-J45,65,Leeds,LimitedAccess,
10-02-2023,Friday,10:00:00,J43|44-J45,63,Leeds,LimitedAccess,,J45-J43|44,63,LimitedAccess,Leeds,
10-02-2023,Friday,10:00:00,J42-J43|44,57,Manchester/Hull,Leeds,Unconfirmed Roadwork,J43|44-J42,51,Leeds,Manchester/Hull,
10-02-2023,Friday,10:00:00,J41-J42,51,Wakefield,Manchester/Hull,Unconfirmed Roadwork,J42-J41,60,Manchester/Hull,Wakefield,
10-02-2023,Friday,10:00:00,J40-J41,64,Dewsbury/Wakefield,Wakefield,,J41-J40,62,Wakefield,Dewsbury/Wakefield,
10-02-2023,Friday,10:00:00,J39-J40,67,Wakefield,Dewsbury/Wakefield,,J40-J39,65,Dewsbury/Wakefield,Wakefield,
10-02-2023,Friday,10:00:00,J38-J39,70,Huddersfield,Wakefield,,J39-J38,65,Wakefield,Huddersfield,
10-02-2023,Friday,10:00:00,J37-J38,67,Barnsley,Huddersfield,Unconfirmed Roadwork,J38-J37,62,Huddersfield,Barnsley,Unconfirmed Roadwork
10-02-2023,Friday,10:00:00,J36-J37,66,Barnsley,Barnsley,,J37-J36,65,Barnsley,Barnsley,
10-02-2023,Friday,10:00:00,J35A-J36,66,Chapeltown,Barnsley,,J36-J35A,65,Barnsley,Chapeltown,
10-02-2023,Friday,10:00:00,J35-J35A,65,Sheffield/Rotherham,Chapeltown,,J35A-J35,62,Chapeltown,Sheffield/Rotherham,
10-02-2023,Friday,10:00:00,J34-J35,66,Sheffield/Rotherham,Sheffield/Rotherham,Unconfirmed Roadwork,J35-J34,61,Sheffield/Rotherham,Sheffield/Rotherham,Unconfirmed Roadwork
10-02-2023,Friday,10:00:00,J33-J34,60,SheffieldAirport/Rotherham,Sheffield/Rotherham,,J34-J33,58,Sheffield/Rotherham,SheffieldAirport/Rotherham,
10-02-2023,Friday,10:00:00,J32-J33,62,Doncaster,SheffieldAirport/Rotherham,,J33-J32,61,SheffieldAirport/Rotherham,Doncaster,
10-02-2023,Friday,10:00:00,J31-J32,68,Sheffield,Doncaster,,J32-J31,64,Doncaster,Sheffield,
10-02-2023,Friday,10:00:00,J30-J31,67,Sheffield,Sheffield,,J31-J30,64,Sheffield,Sheffield,
10-02-2023,Friday,10:00:00,J29A-J30,68,Chesterfield(E)/Bolsover,Sheffield,,J30-J29A,68,Sheffield,Chesterfield(E)/Bolsover,
